学号,姓名,e1,e2,e3,高等数学1-1 [4],高等数学1-2 [5],线性代数 [3],大学物理4-1 [3],信息技术导论 [2],高级语言程序设计 [3],高级语言程序设计实验 [1],面向对象程序设计 [3],计算机组成原理 [3],离散数学 [4],汇编语言程序设计 [2],汇编语言程序设计实验 [1],程序设计训练 [1],计算机组成原理课程设计 [1],数字系统与逻辑设计 [3],数字系统与逻辑设计实验 [1],JAVA语言程序设计 [3],计算机专业认知 [.5],思想道德修养与法律基础 [3],中国近现代史纲要 [2],马克思主义基本原理概论 [3],毛泽东思想和中国特色社会主义理论体系概论（1） [3],贵州省情 [1],体育1 [1],大学生职业生涯规划 [.5],军事理论及军事训练 [2],大学生心理健康 [1]
2018182851,周二七,75,76,83,89,69,88,91,良好,80,良好,80,90,73,良,良,优秀,90,90,80,70,100,86,84,84,81,74,79,69,86,84
2018182852,王六三,,,66,,,,84,87,81,70,81,77,70,中,优,及格,80,89,90,99,100,,,,84,,,,85,
2018182853,王四三,71,75,81,83,79,76,83,79,81,优秀,78,87,68,中,优,85,80,82,良好,99,100,81,87,85,90,78,74,87,85,89
2018182854,杨九九,79,78,71,88,89,91,87,良好,77,良好,82,83,62,中,中,良好,80,88,80,81,100,81,81,80,70,82,88,76,84,91
2018182855,张五三,91,86,79,88,74,63,,,84,优秀,,90,82,优,优,,中等,,,84,,86,90.7,91,70,66,,64,84,71
2018182856,徐四二,76,73,80,87,84,,91,,77,不及格,,77,70,良,优,,良好,,,83,,83,91,91,77,90,77,86,81,84
2018182857,王九八,76,82,77,79,89,70,,,85,中等,,86,70,优,中,,90,,,,,77,80,87,82,89,82,76,86,90
2018182858,杨一五,84,86,85,66,74,69,79,87,95,80,84,79,73,优,良,不及格,良好,73,90,99,100,78,79,76,71,77,78,70,85,85
2018182859,杨二二,72,76,72,,,,69,,72,不及格,,81,61,中,良,,良好,,,67,,82,94,91,74,91,94,68,87,88
2018182860,杨四三,79,80,71,77,73,90,87,84,91,80,86,76,65,及,良,良好,80,84,90,99,100,73,80,84,70,77,61,72,86,82
2018182861,杨八五,68,71,76,65,69,75,89,84,78,良好,71,84,67,优,优,80,优秀,91,优秀,90,100,83,84,88,88,91,80,83,76,93
2018182862,刘八二,73,79,74,72,60,82,89,优秀,89,良好,82,87,77,中,中,及格,良好,80,90,81,100,85,90,82,82,81,85,73,86,87
2018182863,李六四,72,70,68,86,77,87,80,优秀,88,良好,86,82,78,中,良,及格,80,83,70,69,100,81,87,78,75,74,96,81,78,85
2018182864,李七三,75,77,70,73,94,88,87,85,87,优,75,69,67,中,中,良好,90,76,90,81,100,78,83,84,76,78,85,70,85,78
2018182865,李五六,70,83,71,87,72,88,67,良好,95,优秀,96,61,73,中,中,优秀,及格,85,90,99,100,73,89,85,74,85,95,86,87,85
2018182866,杨二七,71,68,67,85,80,85,81,89,74,良好,71,89,83,中,良,86,优秀,82,不及格/0,87,100,82,76,81,68,72,90,90,80,79
2018182867,刘五一,85,80,71,78,70,80,75,90,84,良好,84,82,73,中,良,中等,中等,90,良好,69,100,85,85,87,62,66,82,96,82,86
2018182868,张九五,69,76,70,77,69,92,80,87,84,良好,76,76,68,中,中,80,90,72,良好,69,100,84,80,87,88,83,92,87,89,89
2018182869,周九四,61,71,62,91,60,88,80,优秀,96,优秀,78,84,84,及,及,中等,中等,65,70,99,100,83,81,80,77,70,88,79,87,87
2018182870,李三八,70,80,72,83,63,85,67,81,95,优秀,90,66,65,中,中,及格,90,84,优秀,79,100,82,90,89,54/65,88,80,96,81,87
2018182871,刘七四,60,61,60,87,89,89,82,86,80,80,62,82,72,良,良,中等,良好,82,90,70,100,81,88,82,72,82,87,80,80,83
